"Offer ID","Created On","Offer Name","Categories","Cities","Merchant Name","Type","UPCs","IIDs","Price","Sales","Qty Sold","Qty Avl","Status"
"4963","2017-05-19 00:00:00","Regal Entertainment Group Gift Cards","Teacher;
Valentine's Day;
Men;
$25 Gift Cards;
Brother;
Black Friday;
Birthday;
$100 Gift Cards;
$10 Gift Cards;
Husband;
Mother's Day;
Easter;
$20 Gift Cards;
Couples;
Mother's Day;
Anniversary;
$50 Gift Cards;
Wife;
Thanksgiving;
Father's Day;
Popular;
Retirement;
$15 Gift Cards;
Entertainment","Bakers Plus","Regal","Physical Gift Card Offer","07675005089
07675005089","34210
76530","Variable (5-500);
Fixed
25;50;75;100;200;10","12177.20","451","Unlimited","LIVE"
"4963","2017-05-19 00:00:00","Regal Entertainment Group Gift Cards","Teacher;
Valentine's Day;
Men;
$25 Gift Cards;
Brother;
Black Friday;
Birthday;
$100 Gift Cards;
$10 Gift Cards;
Husband;
Mother's Day;
Easter;
$20 Gift Cards;
Couples;
Mother's Day;
Anniversary;
$50 Gift Cards;
Wife;
Thanksgiving;
Father's Day;
Popular;
Retirement;
$15 Gift Cards;
Entertainment","Bakers Plus","Regal","Physical Gift Card Offer","07675005089
07675005089","34210
76530","Variable (5-500);
Fixed
25;50;75;100;200;10","12177.20","451","Unlimited","LIVE"
"4962","2017-05-19 00:00:00","Texas Roadhouse Gift Cards","Birthday;
Occasions;
Congratulations;
At Home;
$15 Gift Cards;
Husband;
Mother's Day;
Independence Day;
Graduation;
$25 Gift Cards;
Wife;
Anniversary;
Retirement;
$100 Gift Cards;
Thank You;
Christmas;
Valentine's Day;
Easter;
Food Delivery and Pick Up;
$20 Gift Cards;
Couples;
Father's Day;
Physical Gift Cards;
Housewarming;
$50 Gift Cards;
Friend;
Restaurants","Bakers Plus","Texas Roadhouse","Physical Gift Card Offer","07675010200
07675010200","60264
60387","Variable (15-100);
Fixed
25;50;75;100","54550.15","1456","Unlimited","LIVE"
"4961","2017-05-19 00:00:00","Claim Jumper Gift Cards","Physical Gift Cards;
Retirement;
Thank You;
Couples;
Anniversary;
Occasions;
Easter;
$100 Gift Cards;
Sister;
Women;
Mother's Day;
Housewarming;
Friend;
Husband;
Valentine's Day;
Men;
Congratulations;
$50 Gift Cards;
Brother;
Father's Day;
Graduation;
Wife;
Christmas;
Birthday;
Restaurants","Bakers Plus","Claim Jumper Restaurants","Physical Gift Card Offer","07675011421","83933","","1203.60","20","0","LIVE"
"4961","2017-05-19 00:00:00","Claim Jumper Gift Cards","Physical Gift Cards;
Retirement;
Thank You;
Couples;
Anniversary;
Occasions;
Easter;
$100 Gift Cards;
Sister;
Women;
Mother's Day;
Housewarming;
Friend;
Husband;
Valentine's Day;
Men;
Congratulations;
$50 Gift Cards;
Brother;
Father's Day;
Graduation;
Wife;
Christmas;
Birthday;
Restaurants","Bakers Plus","Claim Jumper Restaurants","Physical Gift Card Offer","07675011421","83933","","1203.60","20","0","LIVE"
"4960","2017-05-19 00:00:00","Regal eGift","$25 Gift Cards;
Brother;
Black Friday;
Birthday;
eGift Cards;
$100 Gift Cards;
$10 Gift Cards;
Husband;
Mother's Day;
Easter;
$20 Gift Cards;
Couples;
Mother's Day;
Anniversary;
$50 Gift Cards;
Wife;
Thanksgiving;
Father's Day;
Popular;
Retirement;
$15 Gift Cards;
Teacher;
Valentine's Day;
Men;
Entertainment","Bakers Plus","Regal","Gift Card Offer","07675008221
07675008221
07675008221
07675008221
07675008221
07675008221
07675008221
07675008221
07675008221","73686
76084
72740
72739
72738
72737
72742
72736
91047","Variable (5-500);
Fixed
25;50;75;100;200;10","24716.84","670","Unlimited","LIVE"
"4959","2017-05-19 00:00:00","Texas Roadhouse Ribbon eGift","Food Delivery and Pick Up;
$20 Gift Cards;
Couples;
Father's Day;
Housewarming;
$50 Gift Cards;
Friend;
Birthday;
Occasions;
Congratulations;
At Home;
$15 Gift Cards;
Husband;
Mother's Day;
Independence Day;
Graduation;
$25 Gift Cards;
Wife;
Anniversary;
Restaurants;
Retirement;
$100 Gift Cards;
Thank You;
Christmas;
Valentine's Day;
Easter;
eGift Cards","Bakers Plus","Texas Roadhouse","Gift Card Offer","07675010201","60265","Variable (15-100);
Fixed
25;50;75;100","103136.45","2357","Unlimited","LIVE"
"4957","2017-05-19 00:00:00","Glory Days Grill/ FANFARE Eatery Gift","Christmas;
Graduation;
Friend;
Congratulations;
$25 Gift Cards;
Restaurants;
Easter;
$100 Gift Cards;
Teacher;
Housewarming;
Thank You;
Physical Gift Cards;
Back to School;
$50 Gift Cards;
Specialty","Bakers Plus","Glory Days","Physical Gift Card Offer","07675010670","61509","Variable (25-100);
Fixed
25;50;75;100","225","4","Unlimited","LIVE"
"4957","2017-05-19 00:00:00","Glory Days Grill/ FANFARE Eatery Gift","Christmas;
Graduation;
Friend;
Congratulations;
$25 Gift Cards;
Restaurants;
Easter;
$100 Gift Cards;
Teacher;
Housewarming;
Thank You;
Physical Gift Cards;
Back to School;
$50 Gift Cards;
Specialty","Bakers Plus","Glory Days","Physical Gift Card Offer","07675010670","61509","Variable (25-100);
Fixed
25;50;75;100","225","4","Unlimited","LIVE"
"4956","2017-05-19 00:00:00","Claim Jumper eGift Cards","Congratulations;
$50 Gift Cards;
Wife;
Christmas;
Birthday;
Graduation;
Thank You;
Couples;
Anniversary;
Occasions;
Retirement;
$25 Gift Cards;
Sister;
Women;
Mother's Day;
Easter;
$100 Gift Cards;
Friend;
Husband;
Valentine's Day;
Men;
Housewarming;
$20 Gift Cards;
Brother;
Restaurants;
Father's Day;
eGift Cards","Bakers Plus","Claim Jumper Restaurants","Gift Card Offer","07675011173","62661","","2610.49","49","0","LIVE"
